"Title","Default language","Default text","es text","Variant status","Placeholder"
"6.2::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","Una solución basada en la nube para mantener una infraestructura Liferay Portal","Active","dc.6_2-liferay_connected_services_card_description"
"6.2::Liferay Faces Card","English","Liferay Faces","Liferay Faces","Active","dc.6_2-liferay_faces_card"
"6.2::Liferay Faces Card Description","English","A project that provides support for the JavaServer™ Faces (JSF) standard within Liferay Portal.","Un proyecto que te proporciona soporte para el estándar de JavaServer™ Faces (JSF) en Liferay Portal","Active","dc.6_2-liferay_faces_card_description"
"6.2::Mobile SDK Card","English","Mobile SDK","Mobile SDK","Active","dc.6_2-mobile_sdk_card"
"6.2::Mobile SDK Card Description","English","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","Un marco para construir aplicaciones móviles nativas que se integren con las distintas instancias de Liferay Portal","Active","dc.6_2-mobile_sdk_card_description"
"6.2::Other Products Tab","English","Other Products","Otros productos","Active","dc.6_2-other_products_tab"
"6.2::Page Heading","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.6_2-page_heading"
"6.2::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.2 software updates.","Descarga la Patching Tool para instalar las actualizaciones de Liferay Portal 6.2","Active","dc.6_2-patching_tool_card_description"
"6.2::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay Portal.","Consulta las vulnerabilidades de seguridad conocidas y corregidas para Liferay Portal","Active","dc.6_2-security_advisories_card_description"
"6.2::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.2.","Consulta la política de fin de ciclo de vida de Liferay Portal 6.2","Active","dc.6_2-service_life_card_description"
"6.2::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.2.","Accede a los anteriores service packs de Liferay Portal 6.2","Active","dc.6_2-service_packs_archive_card_description"
"6.2::Social Office Card","English","Social Office","Social Office","Active","dc.6_2_social_office_card"
"6.2::Social Office Card Description","English","A workspace solution that enhances the way you and your colleagues work together.","Una solución de trabajo que mejora la forma de trabajar en equipo","Active","dc.6_2_social_office_card_description"
"7.0::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","Aprende cómo utilizar todas las funcionalidades ""Out of the Box"" de Liferay DXP 7.0","Active","dc.7_0-admin_guide_card_description"
"7.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.0.","Conoce las configuraciones compatibles con Liferay DXP 7.0","Active","dc.7_0-compatibility_matrix_card_description"
"7.0::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","Aprende cómo desplegar, configurar, mantener y monitorizar tus entornos de Liferay DXP 7.0","Active","dc.7_0-deployment_guide_card_description"
"7.0::Latest Release Card Description","English","Download  and install the latest release of Liferay DXP 7.0.","Descarga e instala la última actualización de Liferay DXP 7.0","Active","dc.7_0-latest_release_card_description"
"7.0::Page Heading","English","Liferay Digital Experience Platform 7.0","Liferay Digital Experience Platform 7.0","Active","dc.7_0-page_heading"
"7.0::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.0 software updates.","Descarga la Patching Tool para instalar las actualizaciones de Liferay DXP 7.0","Active","dc.7_0-patching_tool_card_description"
"7.0::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.0.","Consulta la política de fin de ciclo de vida de Liferay DXP 7.0","Active","dc.7_0-service_life_card_description"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","Accede a los anteriores service packs de Liferay DXP 7.0","Active","dc.7_0-service_packs_archive_card_description"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","Consulta el conjunto de recursos que te ayudarán en la migración a Liferay DXP 7.0","Active","dc.7_0-upgrading_card_description"
"7.1::Account Support Card Description","English","Learn more about designated contacts for your project.","","","dc.7_1-account_support_card_description"
"7.1::Activation Keys Card Description","English","Request a key for your workstation and production environments.","Activa tus entornos de Liferay DXP para comenzar con tu proyecto","Active","dc.7_1-activation_keys_card_description"
"7.1::Admin Guide Card","English","Admin Guide","Guía de Administrador","Active","dc.7_1-admin_guide_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","Aprende cómo utilizar todas las funcionalidades ""Out of the Box"" de Liferay DXP 7.1","Active","dc.7_1-admin_guide_card_description"
"7.1::Admin Reference Card","English","Admin Reference","Documentos de referencia para Administradores","Active","dc.7_1-admin_reference_card"
"7.1::Admin Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","Comprueba las definiciones y preferencias de Liferay para personalizar tu plataforma","Active","dc.7_1-admin_reference_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","Consigue las últimas actualizaciones de los productos, parches y mejoras del sistema","Active","dc.7_1-announcements_card_description"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","Conoce las configuraciones compatibles con Liferay DXP 7.1","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Components Tab","English","Components","Componentes","Active","dc.7_1-components_tab"
"7.1::Deployment Guide Card","English","Deployment Guide","Guía de despliegue","Active","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","Conoce cómo desplegar, configurar, mantener y monitorizar tus entornos de Liferay DXP 7.1","Active","dc.7_1-deployment_guide_card_description"
"7.1::Developer Reference Card","English","Developer Reference","Documentos de referencia para Desarrolladores","Active","dc.7_1-developer_reference_card"
"7.1::Developer Reference Card Description","English","Access APIs, build commands, project templates, sample projects, and more.","Accede a las API, comandos de construcción, plantillas de proyecto, proyectos de ejemplo y más","Active","dc.7_1-developer_reference_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","Herramientas de desarrollo y Frameworks","Active","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","Un conjunto de herramientas y entornos construidos específicamente para el desarrollo con Liferay","Active","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Developer Tutorials Card","English","Developer Tutorials","Tutoriales para desarrolladores","Active","dc.7_1-developer_tutorials_card"
"7.1::Developer Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","Accede tutoriales sobre las herramientas de Liferay, la construcción de módulos, el desarrollo de portlets y mucho más","Active","dc.7_1-developer_tutorials_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","Conoce cómo el Soporte de Liferay proporciona actualizaciones de mantenimiento y urgentes para Liferay DXP","Active","dc.7_1-fix_delivery_method_card_description"
"7.1::Fix Packs Card","English","Fix Packs","Fix Packs","Active","dc.7_1-fix_packs_card"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","Descarga e instala el último fix pack para disponer del código más reciente","Active","dc.7_1-fix_packs_card_description"
"7.1::Help Topics Card","English","Help Topics","Temas de ayuda","Active","dc.7_1-help_topics_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","Consulta un conjunto de artículos organizados por temas","Active","dc.7_1-help_topics_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","Accede a la biblioteca con artículos sobre contenidos, cuestiones y temas frecuentes","Active","dc.7_1-knowledge_base_card_description"
"7.1::Latest Release Card","English","Latest Release","Última actualización","Active","dc.7_1-latest_release_card"
"7.1::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.1.","Descarga e instala la última actualización de Liferay DXP 7.1","Active","dc.7_1-latest_release_card_description"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","Liferay Connected Services","Active","dc.7_1-liferay_connected_services_card"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","Una solución basada en la nube para mantener una infraestructura Liferay DXP","Active","dc.7_1-liferay_connected_services_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","Enterprise Search","Active","dc.7_1-liferay_enterprise_search_card"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","Una suscripción adicional para gestionar búsquedas a escala empresarial en tus proyectos de Liferay DXP","Active","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","Liferay Sync","Active","dc.7_1-liferay_sync_card"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","Un servicio para sincronizar y compartir archivos desde ordenador y dispositivos móviles","Active","dc.7_1-liferay_sync_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","Mobile Experience Platform","Active","dc.7_1-mobile_experience_platform_card"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","Ofrece experiencias móviles responsivas, nativas o híbridas con una única plataforma de desarrollo","Active","dc.7_1-mobile_experience_platform_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1-page_heading"
"7.1::Patching Tool Card","English","Patching Tool","Patching Tool","Active","dc.7_1-patching_tool_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","Descarga la Patching Tool para instalar las actualizaciones de Liferay DXP 7.1","Active","dc.7_1-patching_tool_card_description"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","Consulta las vulnerabilidades de seguridad conocidas y corregidas para Liferay DXP","Active","dc.7_1-security_advisories_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","Conoce los beneficios incluidos en cada nivel de suscripción enterprise","Active","dc.7_1-service_levels_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","Consulta la política de fin de ciclo de vida de Liferay DXP 7.1","Active","dc.7_1-service_life_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","Archivo de Service Packs","Active","dc.7_1-service_packs_archive_card"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","Accede a los anteriores service packs de Liferay DXP 7.1","Active","dc.7_1-service_packs_archive_card_description"
"7.1::Support Coverage Card Description","English","Reference support coverage details for all Liferay products.","Consulta los detalles de la cobertura del soporte de todos los productos Liferay","Active","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","Navega entre las respuestas a las preguntas más comunes relacionadas con soporte","Active","dc.7_1-support_faqs_card_description"
"7.1::Support Information Tab","English","Support Information","Información sobre Soporte","Active","dc.7_1-support_information_tab"
"7.1::Top Resources Tab","English","Top Resources","Recursos principales","Active","dc.7_1-top_resources_tab"
"7.1::Upgrading Card","English","Upgrading","Migración","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Consulta el conjunto de recursos que te ayudarán en la migración a Liferay DXP 7.1","Active","dc.7_1-upgrading_card_description"
"7.1::Whitepapers Card","English","Whitepapers","Documentos oficiales","Active","dc.7_1-whitepapers_card"
"7.1::Whitepapers Card Description","English","Reference technical briefs on topics including deployment, upgrading, and performance. ","Consulta resúmenes técnicos de temas como despliegues, migraciones y rendimiento","Active","dc.7_1-whitepapers_card_description"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administra Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Admin Guide","English","Admin Guide","Guía de Administrador","Active","dc.admin_guide"
"Footer_All Rights Reserved","English","All Rights Reserved","Todos los derechos reservados","Active","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Analytics Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","Conoce cómo utilizar todas las funcionalidades de Liferay Analytics Cloud","Active","dc.analytics_cloud-admin_guide_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","Petición de funcionalidades","Active","dc.analytics_cloud-feature_requests_card"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","Consulta la lista de las funcionalidades que se han solicitado y el estado actual de las mismas","Active","dc.analytics_cloud-feature_requests_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","Empezando","Active","dc.analytics_cloud-getting_started_card"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","Conoce cómo añadir y gestionar tus fuentes de datos en Liferay Analytics Cloud","Active","dc.analytics_cloud-getting_started_card_description"
"Analytics Cloud::Known Issues Card","English","Known Issues","Incidencias conocidas","Active","dc.analytics_cloud-known_issues_card"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","Consulta las incidencias conocidas que han sido documentadas para Liferay Analytics Cloud","Active","dc.analytics_cloud-known_issues_card_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.analytics_cloud-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","Conoce más acerca del alcance del servicio de soporte para Liferay Analytics Cloud","Active","dc.analytics_cloud-support_coverage_card_description"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Documentación de Analytics Cloud","Active","dc.analytics_cloud_documentation"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"Browse by Product","English","Browse by Product","Consultar por producto","Active","dc.browse_by_product"
"Category::Product Support","English","Product Support","Soporte del Producto","Active","dc.category-product_support"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","Aprende a utilizar todas las funcionalidades de Liferay Commerce","Active","dc.commerce-admin_guide_card_description"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","Conoce las configuraciones compatibles con Liferay Commerce","Active","dc.commerce-compatibility_matrix_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","Descarga e instala la última actualización de Liferay Commerce","Active","dc.commerce-latest_release_card_description"
"Commerce::Page Heading","English","Liferay Commerce","Liferay Commerce","Active","dc.commerce-page_heading"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","Consulta la política de fin de ciclo de vida de Liferay Commerce","Active","dc.commerce-service_life_description"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","Conoce más acerca del alcance del servicio de soporte para Liferay Commerce","Active","dc.commerce-support_coverage_card_description"
"Component::APIs","English","APIs","API","Active","dc.component-apis"
"Component::APIs, Integrations and Extension Points","English","APIs, Integrations and Extension Points","API, Integraciones y Puntos de Extensión","Active","dc.component-apis_integrations_and_extension_points"
"Component::Application Display Templates","English","Application Display Templates","Plantilla de Interfaz de la Aplicación","Active","dc.component-application_display_templates"
"Component::Audience Targeting","English","Audience Targeting","Audience Targeting","Active","dc.component-audience_targeting"
"Component::Authentication","English","Authentication","Autenticación","Active","dc.component-authentication"
"Component::Backup / Recovery","English","Backup / Recovery","Copia de seguridad / Restauración","Active","dc.component-backup_recovery"
"Component::Caching & Clustering","English","Caching & Clustering","Caching y Clustering","Active","dc.component-caching_clustering"
"Component::Calendar","English","Calendar","Calendario","Active","dc.component-calendar"
"Component::Collaboration Suite","English","Collaboration Suite","Collaboration Suite","Active","dc.component-collaboration_suite"
"Component::Commerce Insights","English","Commerce Insights","Commerce Insights","Active","dc.component-commerce_insights"
"Component::Configuration and Settings","English","Configuration and Settings","Configuración y ajustes","Active","dc.component-configuration_and_settings"
"Component::Connectivity","English","Connectivity","Conectividad","Active","dc.component-connectivity"
"Component::Connectors","English","Connectors","Conectores","Active","dc.component-connectors"
"Component::Deployment, Environments","English","Deployment, Environments","Despliegue, Entornos","Active","dc.component-deployment_environments"
"Component::Developer Tools","English","Developer Tools","Herramientas para Desarrolladores","Active","dc.component-developer_tools"
"Component::Digital Merchandise Management","English","Digital Merchandise Management","Gestión de la mercancía digital","Active","dc.component-digital_merchandise_management"
"Component::Digital Store Management","English","Digital Store Management","Gestión de la tienda digital","Active","dc.component-digital_store_management"
"Component::Document Management","English","Document Management","Gestión de documentos","Active","dc.component-document_management"
"Component::Dynamic Data Mapping & Data Lists","English","Dynamic Data Mapping & Data Lists","Dynamic Data Mapping y Data Lists ","Active","dc.component-dynamic_data_mapping_data_lists"
"Component::Forms","English","Forms","Formularios","Active","dc.component-forms"
"Component::Liferay API","English","Liferay API","API de Liferay","Active","dc.component-liferay_api"
"Component::Liferay Sync","English","Liferay Sync","Liferay Sync","Active","dc.component-liferay_sync"
"Component::Localization","English","Localization","Localización","Active","dc.component-localization"
"Component::Networking","English","Networking","Networking","Active","dc.component-networking"
"Component::Patch Management","English","Patch Management","Gestión de parches","Active","dc.component-patch_management"
"Component::Performance","English","Performance","Rendimiento","Active","dc.component-performance"
"Component::Portal Configuration","English","Portal Configuration","Configuración del Portal","Active","dc.component-portal_configuration"
"Component::Recycle Bin","English","Recycle Bin","Papelera de reciclaje","Active","dc.component-recycle_bin"
"Component::Reporting","English","Reporting","Informes","Active","dc.component-reporting"
"Component::Search Engine Optimization, Analytics","English","Search Engine Optimization, Analytics","Optimización del motor de búsqueda, Analíticas ","Active","dc.component-search_engine_optimization_analytics"
"Component::Search & Indexing","English","Search & Indexing","Búsqueda e Indexación","Active","dc.component-search_indexing"
"Component::Security","English","Security","Seguridad","Active","dc.component-security"
"Component::Shopping Experience","English","Shopping Experience","Experiencia de compra","Active","dc.component-shopping_experience"
"Component::Site Management","English","Site Management","Administración del sitio","Active","dc.component-site_management"
"Component::Social Networking","English","Social Networking","Redes sociales","Active","dc.component-social_networking"
"Component::Social Office","English","Social Office","Social Office","Active","dc.component-social_office"
"Component::Staging, Export/Import","English","Staging, Export/Import","Staging, Exportar/Importar","Active","dc.component-staging_export_import"
"Component::System Availability","English","System Availability","Disponibilidad del sistema","Active","dc.component-system_availability"
"Component::UI Infrastructure, Accessibility","English","UI Infrastructure, Accessibility","Infraestructura UI, Accesibilidad","Active","dc.component-ui_infrastructure_accessibility"
"Component::Upgrade","English","Upgrade","Migración","Active","dc.component-upgrade"
"Component::User, Membership, Role Management","English","User, Membership, Role Management","Usuarios, Membresía, Gestión de roles","Active","dc.component-user_membership_role_management"
"Component::VPN","English","VPN","VPN","Active","dc.component-vpn"
"Component::Web Content","English","Web Content","Contenido web","Active","dc.component-web_content"
"Component::Workflow, Workflow Forms","English","Workflow, Workflow Forms","Flujos de trabajo, Formularios del flujo de trabajo","Active","dc.component-workflow_workflow_forms"
"Component::Activation Key & Project Administration","English","Activation Key & Project Administration","Códigos de activación & Administración del proyecto","Active","dc.component_field-activation_key_project_administration"
"Component:UI","English","UI","UI","Active","dc.component_ui"
"Contact Us","English","Contact Us","Contacta con nosotros","Active","dc.contact_us"
"Development Guide","English","Development Guide","Guía para desarrollo","Active","dc.development_guide"
"Documentation::Liferay Analytics Cloud","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.documentation-liferay_analytics_cloud"
"Documentation::Liferay Commerce","English","Liferay Commerce","Liferay Commerce","Active","dc.documentation-liferay_commerce"
"Documentation::Liferay DXP 7.0","English","Liferay DXP 7.0","Liferay DXP 7.0","Active","dc.documentation-liferay_dxp_7_0"
"Documentation::Liferay DXP 7.1","English","Liferay DXP 7.1","Liferay DXP 7.1","Active","dc.documentation-liferay_dxp_7_1"
"Documentation::Liferay DXP Cloud","English","Liferay DXP Cloud","Liferay DXP Cloud","Active (Out of date)","dc.documentation-liferay_dxp_cloud"
"Documentation::Liferay DXP Components","English","Liferay DXP Components","Componentes de Liferay DXP","Active","dc.documentation-liferay_dxp_components"
"Documentation::Liferay Portal 5.2","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.documentation-liferay_portal_5_2"
"Documentation::Liferay Portal 6.0","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.documentation-liferay_portal_6_0"
"Documentation::Liferay Portal 6.1","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.documentation-liferay_portal_6_1"
"Documentation::Liferay Portal 6.2","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.documentation-liferay_portal_6_2"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","Aprende a utilizar todas las funcionalidades de Liferay DXP Cloud","Active","dc.dxp_cloud-admin_guide_card_description"
"DXP Cloud::Announcements Card Description","English","See product updates, announcements, and releases notes from Liferay DXP Cloud.","","","dc.dxp_cloud-announcements_card_description"
"DXP Cloud::Application Management","English","Application Management","Gestión de la aplicación","Active","dc.dxp_cloud-application_management"
"DXP Cloud::Collaboration","English","Collaboration","Colaboración","Active","dc.dxp_cloud-collaboration"
"DXP Cloud::Development Lifecycle","English","Development Lifecycle","Ciclo de desarrollo","Active","dc.dxp_cloud-development_lifecycle"
"DXP Cloud::Monitoring","English","Monitoring","Monitorización","Active","dc.dxp_cloud-monitoring"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","Liferay DXP Cloud ","Active","dc.dxp_cloud-page_heading"
"DXP Cloud::Reference","English","Reference","Referencia","Active","dc.dxp_cloud-reference"
"DXP Cloud::Security","English","Security","Seguridad","Active","dc.dxp_cloud-security"
"DXP Cloud::Services","English","Services","Servicios","Active","dc.dxp_cloud-services"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","Conoce más acerca del alcance del servicio de soporte para Liferay DXP Cloud","Active","dc.dxp_cloud-support_coverage_card_description"
"DXP Cloud:: Knowledge Base Card Description","English","The most frequently asked questions and answers about Liferay DXP Cloud.","","","dc.dxp_cloud-_knowledge_base_card_description"
"Environment::Non-Production","English","Non-Production","No producción","Active","dc.environment-non-production"
"Environment::Not Available","English","Not Available","No disponible","Active","dc.environment-not_available"
"Environment::Production","English","Production","Producción","Active","dc.environment-production"
"Footer::Account Support","English","Account Support","Soporte de la cuenta","Active","dc.footer-account_support"
"Footer::All Rights Reserved","English","All Rights Reserved","Todos los derechos reservados","Active","dc.footer-all_rights_reserved"
"Footer::Contact Us","English","Contact Us","Contacta con nosotros","Active","dc.footer-contact_us"
"Footer::LESA","English","LESA","LESA","Active","dc.footer-lesa"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
