"Title","Default language","Default text","zh-cn text","Variant status","Placeholder"
"6.2::Developer Studio Card Description","English","An all-in-one, integrated development environment based on Eclipse.","基于Eclipse的一体化集成开发环境","Active","dc.6_2-developer_studio_card_description"
"6.2::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","详细了解Liferay Support如何提供Liferay Portal维护和紧急修复","Active","dc.6_2-fix_delivery_method_card_description"
"6.2::Info","English","Info:","详情：","Active","dc.6_2-info"
"6.2::Info Banner","English","Liferay Portal 6.2 EE is now in the Limited Support Phase.","Liferay Portal 6.2企业版现在处于有限支持阶段","Active","dc.6_2-info_banner"
"6.2::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.2.","下载和安装Liferay Portal 6.2最新版本","Active","dc.6_2-latest_release_card_description"
"6.2::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","一个基于云管理解决方案的Liferay Portal构架","Active","dc.6_2-liferay_connected_services_card_description"
"6.2::Liferay Faces Card","English","Liferay Faces","Liferay Faces","Active","dc.6_2-liferay_faces_card"
"6.2::Liferay Faces Card Description","English","A project that provides support for the JavaServer™ Faces (JSF) standard within Liferay Portal.","一个在Liferay Portal中为JavaServer™Faces（JSF）标准提供支持的项目","Active","dc.6_2-liferay_faces_card_description"
"6.2::Mobile SDK Card","English","Mobile SDK","Mobile SDK","Active","dc.6_2-mobile_sdk_card"
"6.2::Mobile SDK Card Description","English","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","用于构建与您的不同Liferay Portal实例集成的本机移动应用程序的框架","Active","dc.6_2-mobile_sdk_card_description"
"6.2::Other Products Tab","English","Other Products","其他产品","Active","dc.6_2-other_products_tab"
"6.2::Page Heading","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.6_2-page_heading"
"6.2::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.2 software updates.","下载补丁工具来安装Liferay Portal 6.2软件更新","Active","dc.6_2-patching_tool_card_description"
"6.2::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay Portal.","详细了解Liferay Portal已知安全漏洞和修复","Active","dc.6_2-security_advisories_card_description"
"6.2::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.2.","参考Liferay Portal 6.2支持终止政策","Active","dc.6_2-service_life_card_description"
"6.2::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.2.","访问Liferay Portal 6.2 之前发布的服务包版本","Active","dc.6_2-service_packs_archive_card_description"
"6.2::Social Office Card","English","Social Office","Social Office","Active","dc.6_2_social_office_card"
"6.2::Social Office Card Description","English","A workspace solution that enhances the way you and your colleagues work together.","一个提高您和同事相互协助方式的工作环境解决方案","Active","dc.6_2_social_office_card_description"
"7.0::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","详细了解如果使用Liferay DXP 7.0所有的开箱即用功能","Active","dc.7_0-admin_guide_card_description"
"7.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.0.","详细了解Liferay DXP 7.0支持的配置","Active","dc.7_0-compatibility_matrix_card_description"
"7.0::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","详细了解如何部署，配置，维护和监控您的Liferay DXP 7.0环境","Active","dc.7_0-deployment_guide_card_description"
"7.0::Latest Release Card Description","English","Download  and install the latest release of Liferay DXP 7.0.","下载并安装Liferay DXP 7.0最新版本","Active","dc.7_0-latest_release_card_description"
"7.0::Page Heading","English","Liferay Digital Experience Platform 7.0","Liferay Digital Experience Platform 7.0","Active","dc.7_0-page_heading"
"7.0::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.0 software updates.","下载补丁工具来安装Liferay DXP 7.0的软件更新","Active","dc.7_0-patching_tool_card_description"
"7.0::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.0.","参考Liferay DXP 7.0支持终止政策","Active","dc.7_0-service_life_card_description"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","访问Liferay DXP 7.0之前发布的服务包版本","Active","dc.7_0-service_packs_archive_card_description"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","参考一组资源帮助您升级到Liferay DXP 7.0","Active","dc.7_0-upgrading_card_description"
"7.1::Account Support Card Description","English","Learn more about designated contacts for your project.","","","dc.7_1-account_support_card_description"
"7.1::Activation Keys Card Description","English","Request a key for your workstation and production environments.","激活您的Liferay DXP 7.0环境来开始您的项目","Active","dc.7_1-activation_keys_card_description"
"7.1::Admin Guide Card","English","Admin Guide","系统管理指南","Active","dc.7_1-admin_guide_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","详细了解如果使用Liferay DXP 7.1所有的开箱即用功能","Active","dc.7_1-admin_guide_card_description"
"7.1::Admin Reference Card","English","Admin Reference","系统管理参考资源","Active","dc.7_1-admin_reference_card"
"7.1::Admin Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","查看Liferay定义，以及配置来自定义您的平台","Active","dc.7_1-admin_reference_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","得到产品发布，补丁以及系统优化的更新","Active","dc.7_1-announcements_card_description"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","详细了解Liferay DXP 7.1支持的配置","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Components Tab","English","Components","组件","Active","dc.7_1-components_tab"
"7.1::Deployment Guide Card","English","Deployment Guide","部署指南","Active","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","详细了解如何部署，配置，维护和监控您的Liferay DXP 7.1环境","Active","dc.7_1-deployment_guide_card_description"
"7.1::Developer Reference Card","English","Developer Reference","开发人员参考资源","Active","dc.7_1-developer_reference_card"
"7.1::Developer Reference Card Description","English","Access APIs, build commands, project templates, sample projects, and more.","访问APIs, 创建命令行，项目模板，样本项目，以及更多。","Active","dc.7_1-developer_reference_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","开发工具和框架","Active","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","一系列专门为Liferay开发而创建的工具和框架","Active","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Developer Tutorials Card","English","Developer Tutorials","开发人员教程","Active","dc.7_1-developer_tutorials_card"
"7.1::Developer Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","访问关于使用Liferay的工具，创建模块，开发porlets等教程","Active","dc.7_1-developer_tutorials_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","详细了解Liferay Support如何发布Liferay DXP的维护和紧急修复","Active","dc.7_1-fix_delivery_method_card_description"
"7.1::Fix Packs Card","English","Fix Packs","补丁包","Active","dc.7_1-fix_packs_card"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","下载并安装最新版本的补丁包，以确保您的修复基于最新的代码","Active","dc.7_1-fix_packs_card_description"
"7.1::Help Topics Card","English","Help Topics","帮助话题","Active","dc.7_1-help_topics_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","参考最常访问的文章，以话题为单位","Active","dc.7_1-help_topics_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","访问重复出现的话题，问题和主题的文章库","Active","dc.7_1-knowledge_base_card_description"
"7.1::Latest Release Card","English","Latest Release","最新版本","Active","dc.7_1-latest_release_card"
"7.1::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.1.","下载并安装Liferay DXP 7.1最新版本","Active","dc.7_1-latest_release_card_description"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","Liferay Connected Services","Active","dc.7_1-liferay_connected_services_card"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","一个基于云管理解决方案的Liferay DXP构架","Active","dc.7_1-liferay_connected_services_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","Enterprise Search","Active","dc.7_1-liferay_enterprise_search_card"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","用于管理您的Liferay DXP项目中企业级别搜索的额外订购","Active","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","Liferay Sync","Active","dc.7_1-liferay_sync_card"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","将桌面和移动设备的文档同步和分享的企业级服务","Active","dc.7_1-liferay_sync_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","Mobile Experience Platform","Active","dc.7_1-mobile_experience_platform_card"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","提供交互性，原生，混合移动体验开发平台","Active","dc.7_1-mobile_experience_platform_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1-page_heading"
"7.1::Patching Tool Card","English","Patching Tool","补丁工具","Active","dc.7_1-patching_tool_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","下载补丁工具来安装Liferay DXP 7.1的软件更新","Active","dc.7_1-patching_tool_card_description"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","详细了解Liferay DXP已知安全漏洞和修复","Active","dc.7_1-security_advisories_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","详细了解每个企业级订购服务都包含了什么","Active","dc.7_1-service_levels_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","参考Liferay DXP 7.1支持终止政策","Active","dc.7_1-service_life_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","整合补丁包","Active","dc.7_1-service_packs_archive_card"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","访问Liferay DXP 7.1之前发布的服务包版本","Active","dc.7_1-service_packs_archive_card_description"
"7.1::Support Coverage Card Description","English","Reference support coverage details for all Liferay products.","参看Liferay所有产品的支持范围","Active","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","浏览技术支持常见问题","Active","dc.7_1-support_faqs_card_description"
"7.1::Support Information Tab","English","Support Information","技术支持信息","Active","dc.7_1-support_information_tab"
"7.1::Top Resources Tab","English","Top Resources","浏览最多的文档","Active","dc.7_1-top_resources_tab"
"7.1::Upgrading Card","English","Upgrading","升级","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","参考一组资源帮助您升级到Liferay DXP 7.1","Active","dc.7_1-upgrading_card_description"
"7.1::Whitepapers Card","English","Whitepapers","白皮书","Active","dc.7_1-whitepapers_card"
"7.1::Whitepapers Card Description","English","Reference technical briefs on topics including deployment, upgrading, and performance. ","参考关于以下主题的技术简介：部署，升级，性能","Active","dc.7_1-whitepapers_card_description"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","管理Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Admin Guide","English","Admin Guide","管理员指南","Active","dc.admin_guide"
"Footer_All Rights Reserved","English","All Rights Reserved","版权所有","Active","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Analytics Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","详细了解如何使用Liferay Analytics Cloud所有功能","Active","dc.analytics_cloud-admin_guide_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","新功能申请","Active","dc.analytics_cloud-feature_requests_card"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","参看目前的新功能申请列表以及现在的状态","Active","dc.analytics_cloud-feature_requests_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","这里开始","Active","dc.analytics_cloud-getting_started_card"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","详细了解如何添加和管理你的Liferay Analytics Cloud数据资源","Active","dc.analytics_cloud-getting_started_card_description"
"Analytics Cloud::Known Issues Card","English","Known Issues","已知问题","Active","dc.analytics_cloud-known_issues_card"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","参考Liferay Analytics Cloud已经被记载的已知问题","Active","dc.analytics_cloud-known_issues_card_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.analytics_cloud-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","详细了解Liferay Analytics Cloud支持范围","Active","dc.analytics_cloud-support_coverage_card_description"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Liferay Analytics Cloud","Active","dc.analytics_cloud_documentation"
"Avatar","English","Avatar","头像","Active","dc.avatar"
"Browse by Product","English","Browse by Product","按产品浏览","Active","dc.browse_by_product"
"Category::Product Support","English","Product Support","产品支持","Active","dc.category-product_support"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","详细了解Liferay Commerce所有的功能","Active","dc.commerce-admin_guide_card_description"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","详细了解Liferay Commerce支持的配置","Active","dc.commerce-compatibility_matrix_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","下载并安装Liferay Commerce最新版本","Active","dc.commerce-latest_release_card_description"
"Commerce::Page Heading","English","Liferay Commerce","Liferay Commerce","Active","dc.commerce-page_heading"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","详细了解Liferay Commerce支持终止政策","Active","dc.commerce-service_life_description"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","详细了解Liferay Commerce支持范围","Active","dc.commerce-support_coverage_card_description"
"Component::APIs","English","APIs","APIs","Active","dc.component-apis"
"Component::APIs, Integrations and Extension Points","English","APIs, Integrations and Extension Points","APIs, Integrations and Extension Points","Active","dc.component-apis_integrations_and_extension_points"
"Component::Application Display Templates","English","Application Display Templates","应用展示模板","Active","dc.component-application_display_templates"
"Component::Audience Targeting","English","Audience Targeting","Audience Targeting","Active","dc.component-audience_targeting"
"Component::Authentication","English","Authentication","验证","Active","dc.component-authentication"
"Component::Backup / Recovery","English","Backup / Recovery","备份/修复","Active","dc.component-backup_recovery"
"Component::Caching & Clustering","English","Caching & Clustering","缓存以及集群","Active","dc.component-caching_clustering"
"Component::Calendar","English","Calendar","日历","Active","dc.component-calendar"
"Component::Collaboration Suite","English","Collaboration Suite","协作套件","Active","dc.component-collaboration_suite"
"Component::Commerce Insights","English","Commerce Insights","Commerce Insights","Active","dc.component-commerce_insights"
"Component::Configuration and Settings","English","Configuration and Settings","配置和设置","Active","dc.component-configuration_and_settings"
"Component::Connectivity","English","Connectivity","Connectivity","Active","dc.component-connectivity"
"Component::Connectors","English","Connectors","Connectors","Active","dc.component-connectors"
"Component::Deployment, Environments","English","Deployment, Environments","部署，环境","Active","dc.component-deployment_environments"
"Component::Developer Tools","English","Developer Tools","开发工具","Active","dc.component-developer_tools"
"Component::Digital Merchandise Management","English","Digital Merchandise Management","数字化商品管理","Active","dc.component-digital_merchandise_management"
"Component::Digital Store Management","English","Digital Store Management","数字化商店管理","Active","dc.component-digital_store_management"
"Component::Document Management","English","Document Management","文档管理","Active","dc.component-document_management"
"Component::Dynamic Data Mapping & Data Lists","English","Dynamic Data Mapping & Data Lists","动态数据映射和数据列表","Active","dc.component-dynamic_data_mapping_data_lists"
"Component::Forms","English","Forms","表格","Active","dc.component-forms"
"Component::Liferay API","English","Liferay API","Liferay API","Active","dc.component-liferay_api"
"Component::Liferay Sync","English","Liferay Sync","Liferay Sync","Active","dc.component-liferay_sync"
"Component::Localization","English","Localization","本地化","Active","dc.component-localization"
"Component::Networking","English","Networking","网络","Active","dc.component-networking"
"Component::Patch Management","English","Patch Management","补丁管理","Active","dc.component-patch_management"
"Component::Performance","English","Performance","性能","Active","dc.component-performance"
"Component::Portal Configuration","English","Portal Configuration","Portal配置","Active","dc.component-portal_configuration"
"Component::Recycle Bin","English","Recycle Bin","回收站","Active","dc.component-recycle_bin"
"Component::Reporting","English","Reporting","报表","Active","dc.component-reporting"
"Component::Search Engine Optimization, Analytics","English","Search Engine Optimization, Analytics","搜索引擎优化，分析","Active","dc.component-search_engine_optimization_analytics"
"Component::Search & Indexing","English","Search & Indexing","搜索以及索引","Active","dc.component-search_indexing"
"Component::Security","English","Security","安全","Active","dc.component-security"
"Component::Shopping Experience","English","Shopping Experience","购物体验","Active","dc.component-shopping_experience"
"Component::Site Management","English","Site Management","Site管理","Active","dc.component-site_management"
"Component::Social Networking","English","Social Networking","社交网络","Active","dc.component-social_networking"
"Component::Social Office","English","Social Office","Social Office","Active","dc.component-social_office"
"Component::Staging, Export/Import","English","Staging, Export/Import","Staging, 导出/导入","Active","dc.component-staging_export_import"
"Component::System Availability","English","System Availability","系统可用性","Active","dc.component-system_availability"
"Component::UI Infrastructure, Accessibility","English","UI Infrastructure, Accessibility","用户界面构架，访问性","Active","dc.component-ui_infrastructure_accessibility"
"Component::Upgrade","English","Upgrade","升级","Active","dc.component-upgrade"
"Component::User, Membership, Role Management","English","User, Membership, Role Management","用户，会员，角色管理","Active","dc.component-user_membership_role_management"
"Component::VPN","English","VPN","VPN","Active","dc.component-vpn"
"Component::Web Content","English","Web Content","网页内容","Active","dc.component-web_content"
"Component::Workflow, Workflow Forms","English","Workflow, Workflow Forms","工作流，工作流表格","Active","dc.component-workflow_workflow_forms"
"Component::Activation Key & Project Administration","English","Activation Key & Project Administration","许可证以及项目管理","Active","dc.component_field-activation_key_project_administration"
"Component:UI","English","UI","用户界面","Active","dc.component_ui"
"Contact Us","English","Contact Us","联系我们","Active","dc.contact_us"
"Development Guide","English","Development Guide","开发者指南","Active","dc.development_guide"
"Documentation::Liferay Analytics Cloud","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.documentation-liferay_analytics_cloud"
"Documentation::Liferay Commerce","English","Liferay Commerce","Liferay Commerce","Active","dc.documentation-liferay_commerce"
"Documentation::Liferay DXP 7.0","English","Liferay DXP 7.0","Liferay DXP 7.0","Active","dc.documentation-liferay_dxp_7_0"
"Documentation::Liferay DXP 7.1","English","Liferay DXP 7.1","Liferay DXP 7.1","Active","dc.documentation-liferay_dxp_7_1"
"Documentation::Liferay DXP Cloud","English","Liferay DXP Cloud","Liferay DXP Cloud","Active (Out of date)","dc.documentation-liferay_dxp_cloud"
"Documentation::Liferay DXP Components","English","Liferay DXP Components","Liferay DXP 组件","Active","dc.documentation-liferay_dxp_components"
"Documentation::Liferay Portal 5.2","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.documentation-liferay_portal_5_2"
"Documentation::Liferay Portal 6.0","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.documentation-liferay_portal_6_0"
"Documentation::Liferay Portal 6.1","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.documentation-liferay_portal_6_1"
"Documentation::Liferay Portal 6.2","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.documentation-liferay_portal_6_2"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","详细了解Liferay DXP Cloud所有功能","Active","dc.dxp_cloud-admin_guide_card_description"
"DXP Cloud::Announcements Card Description","English","See product updates, announcements, and releases notes from Liferay DXP Cloud.","","","dc.dxp_cloud-announcements_card_description"
"DXP Cloud::Application Management","English","Application Management","应用管理","Active","dc.dxp_cloud-application_management"
"DXP Cloud::Collaboration","English","Collaboration","协助","Active","dc.dxp_cloud-collaboration"
"DXP Cloud::Development Lifecycle","English","Development Lifecycle","开发周期","Active","dc.dxp_cloud-development_lifecycle"
"DXP Cloud::Monitoring","English","Monitoring","监控","Active","dc.dxp_cloud-monitoring"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","Liferay DXP Cloud ","Active","dc.dxp_cloud-page_heading"
"DXP Cloud::Reference","English","Reference","参考文章","Active","dc.dxp_cloud-reference"
"DXP Cloud::Security","English","Security","安全","Active","dc.dxp_cloud-security"
"DXP Cloud::Services","English","Services","服务","Active","dc.dxp_cloud-services"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","详细了解Liferay DXP Cloud支持范围","Active","dc.dxp_cloud-support_coverage_card_description"
"DXP Cloud:: Knowledge Base Card Description","English","The most frequently asked questions and answers about Liferay DXP Cloud.","","","dc.dxp_cloud-_knowledge_base_card_description"
"Environment::Non-Production","English","Non-Production","非生产环境","Active","dc.environment-non-production"
"Environment::Not Available","English","Not Available","尚无","Active","dc.environment-not_available"
"Environment::Production","English","Production","生产环境","Active","dc.environment-production"
"Footer::Account Support","English","Account Support","账户支持","Active","dc.footer-account_support"
"Footer::All Rights Reserved","English","All Rights Reserved","版权所有","Active","dc.footer-all_rights_reserved"
"Footer::Contact Us","English","Contact Us","联系我们","Active","dc.footer-contact_us"
"Footer::LESA","English","LESA","LESA","Active","dc.footer-lesa"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
"Footer::Marketplace","English","Marketplace","Marketplace","Active","dc.footer-marketplace"
"Footer::Related Sites","English","Related Sites","相关网站","Active","dc.footer-related_sites"
"Footer::Subscription","English","Subscription","订阅","Active","dc.footer-subscription"
"Getting Started","English","Getting Started","这里开始","Active","dc.getting_started"
"Help Center","English","Help Center","Help Center","Active","dc.help_center"
"Homepage::Announcement Subscribe Button","English","Subscribe","订购服务","Active","dc.homepage-announcement_subscribe_button"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","得到产品发布，补丁以及系统优化的更新","Active","dc.homepage-announcement_subscribe_description"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","接收通知","Active","dc.homepage-announcement_subscribe_heading"
"Homepage::Ask the Community","English","Ask the Community","咨询社区","Active","dc.homepage-ask_the_community"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","” 请注意，在Liferay社区发现的信息不包含在Liferay技术支持范围内，请自行决定是否执行“","Active","dc.homepage-ask_the_community_asterisk_description"
"Homepage::Ask the Community Description","English","Learn and share knowledge with community members.","共同学习，并将您的知识分享给社区成员","Active","dc.homepage-ask_the_community_description"
"Homepage::Browse by Product","English","Browse by Product","按产品浏览","Active","dc.homepage-browse_by_product"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","*24/7 电话支持是白金版客户的专享服务，仅限于优先级最高的问题","Active","dc.homepage-contact_us_asterisk_description"
"Homepage::Contact Us Description","English","Speak with a Liferay Support team member by phone.","与Liferay Support Team工程师直接电话沟通","Active (Out of date)","dc.homepage-contact_us_description"
"Homepage::Events","English","Events","Liferay活动","Active","dc.homepage-events"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","补丁包更新","Active","dc.homepage-fix_pack_updates"
"Homepage::How can we help?","English","How can we help?","有什么可以帮到您的吗？","Active","dc.homepage-how_can_we_help"
