"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"7.1::Admin Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","Check Liferay definitions and configuration settings to customize your platform.","Active","dc.7_1-admin_reference_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","Get the latest updates on new releases, patches, and system improvements.","Active","dc.7_1-announcements_card_description"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","Learn about the supported configurations for Liferay DXP 7.1.","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Components Tab","English","Components","Components","Active","dc.7_1-components_tab"
"7.1::Deployment Guide Card","English","Deployment Guide","Deployment Guide","Active","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","Active","dc.7_1-deployment_guide_card_description"
"7.1::Developer Reference Card","English","Developer Reference","Developer Reference","Active","dc.7_1-developer_reference_card"
"7.1::Developer Reference Card Description","English","Access APIs, build commands, project templates, sample projects, and more.","Access APIs, build commands, project templates, sample projects, and more.","Active","dc.7_1-developer_reference_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","Developer Tools and Frameworks","Active","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","A set of tools and frameworks built specifically for Liferay development.","Active","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Developer Tutorials Card","English","Developer Tutorials","Developer Tutorials","Active","dc.7_1-developer_tutorials_card"
"7.1::Developer Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","Active","dc.7_1-developer_tutorials_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","Active","dc.7_1-fix_delivery_method_card_description"
"7.1::Fix Packs Card","English","Fix Packs","Fix Packs","Active","dc.7_1-fix_packs_card"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","Download and install the latest fix pack to ensure you are on the current code base.","Active","dc.7_1-fix_packs_card_description"
"7.1::Help Topics Card","English","Help Topics","Help Topics","Active","dc.7_1-help_topics_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","Reference a collection of popular articles organized by topics.","Active","dc.7_1-help_topics_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","Access a library of articles on recurring topics, issues, and themes.","Active","dc.7_1-knowledge_base_card_description"
"7.1::Latest Release Card","English","Latest Release","Latest Release","Active","dc.7_1-latest_release_card"
"7.1::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.1.","Download and install the latest release of Liferay DXP 7.1.","Active","dc.7_1-latest_release_card_description"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","Liferay Connected Services","Active","dc.7_1-liferay_connected_services_card"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","Active","dc.7_1-liferay_connected_services_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","Enterprise Search","Active","dc.7_1-liferay_enterprise_search_card"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","Active","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","Liferay Sync","Active","dc.7_1-liferay_sync_card"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","An enterprise file syncing and sharing service from desktop and mobile devices.","Active","dc.7_1-liferay_sync_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","Mobile Experience Platform","Active","dc.7_1-mobile_experience_platform_card"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","Deliver responsive, native or hybrid mobile experiences with one development platform.","Active","dc.7_1-mobile_experience_platform_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1-page_heading"
"7.1::Patching Tool Card","English","Patching Tool","Patching Tool","Active","dc.7_1-patching_tool_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","Download the patching tool to install Liferay DXP 7.1 software updates.","Active","dc.7_1-patching_tool_card_description"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","Learn more about known security vulnerabilities and fixes for Liferay DXP.","Active","dc.7_1-security_advisories_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","Learn more about the benefits included with each enterprise subscription level.","Active","dc.7_1-service_levels_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","Reference the end of life policy for Liferay DXP 7.1.","Active","dc.7_1-service_life_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","Service Packs Archive","Active","dc.7_1-service_packs_archive_card"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","Access previous service pack releases for Liferay DXP 7.1.","Active","dc.7_1-service_packs_archive_card_description"
"7.1::Support Coverage Card Description","English","Reference support coverage details for all Liferay products.","Reference support coverage details for all Liferay products.","Active","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","Browse through answers to common support-related questions.","Active","dc.7_1-support_faqs_card_description"
"7.1::Support Information Tab","English","Support Information","Support Information","Active","dc.7_1-support_information_tab"
"7.1::Top Resources Tab","English","Top Resources","Top Resources","Active","dc.7_1-top_resources_tab"
"7.1::Upgrading Card","English","Upgrading","Upgrading","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Active","dc.7_1-upgrading_card_description"
"7.1::Whitepapers Card","English","Whitepapers","Whitepapers","Active","dc.7_1-whitepapers_card"
"7.1::Whitepapers Card Description","English","Reference technical briefs on topics including deployment, upgrading, and performance. ","Reference technical briefs on topics including deployment, upgrading, and performance. ","Active","dc.7_1-whitepapers_card_description"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administering Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Admin Guide","English","Admin Guide","Admin Guide","Active","dc.admin_guide"
"Footer_All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Analytics Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","Learn how to use all the features in Liferay Analytics Cloud.","Active","dc.analytics_cloud-admin_guide_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","Feature Requests","Active","dc.analytics_cloud-feature_requests_card"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","Reference a list of feature requests and their current status.","Active","dc.analytics_cloud-feature_requests_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","Getting Started","Active","dc.analytics_cloud-getting_started_card"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","Active","dc.analytics_cloud-getting_started_card_description"
"Analytics Cloud::Known Issues Card","English","Known Issues","Known Issues","Active","dc.analytics_cloud-known_issues_card"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","Reference existing known issues that have been documented for Liferay Analytics Cloud.","Active","dc.analytics_cloud-known_issues_card_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.analytics_cloud-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","Learn more about support coverage for Liferay Analytics Cloud.","Active","dc.analytics_cloud-support_coverage_card_description"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Analytics Cloud Documentation","Active","dc.analytics_cloud_documentation"
"Article::Fast Track","English","Fast Track","Fast Track","Active","dc.article-fast_track"
"Article::Fast Track Disclaimer","English","This article is part of Liferay's fast-track publication program of providing a repository of solutions confirmed to resolve an issue for at least one customer.  Fast Track solutions cannot be guaranteed to resolve an issue in every instance.  In the interest of providing solutions immediately, Fast Track articles may be presented in an unedited format.","This article is part of Liferay's fast-track publication program of providing a repository of solutions confirmed to resolve an issue for at least one customer.  Fast Track solutions cannot be guaranteed to resolve an issue in every instance.  In the interest of providing solutions immediately, Fast Track articles may be presented in an unedited format.","Active","dc.article-fast_track_disclaimer"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"Browse by Product","English","Browse by Product","Browse by Product","Active","dc.browse_by_product"
"Category::Product Support","English","Product Support","Product Support","Active","dc.category-product_support"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","Learn how to use all the features in Liferay Commerce.","Active","dc.commerce-admin_guide_card_description"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","Learn about supported configurations for Liferay Commerce.","Active","dc.commerce-compatibility_matrix_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","Download and install the latest version of Liferay Commerce. ","Active","dc.commerce-latest_release_card_description"
"Commerce::Page Heading","English","Liferay Commerce","Liferay Commerce","Active","dc.commerce-page_heading"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","Reference the end of life policy for Liferay Commerce.","Active","dc.commerce-service_life_description"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","Learn more about support coverage for Liferay Commerce.","Active","dc.commerce-support_coverage_card_description"
"Component::APIs","English","APIs","APIs","Active","dc.component-apis"
"Component::APIs, Integrations and Extension Points","English","APIs, Integrations and Extension Points","APIs, Integrations and Extension Points","Active","dc.component-apis_integrations_and_extension_points"
"Component::Application Display Templates","English","Application Display Templates","Application Display Templates","Active","dc.component-application_display_templates"
"Component::Audience Targeting","English","Audience Targeting","Audience Targeting","Active","dc.component-audience_targeting"
"Component::Authentication","English","Authentication","Authentication","Active","dc.component-authentication"
"Component::Backup / Recovery","English","Backup / Recovery","Backup / Recovery","Active","dc.component-backup_recovery"
"Component::Caching & Clustering","English","Caching & Clustering","Caching & Clustering","Active","dc.component-caching_clustering"
"Component::Calendar","English","Calendar","Calendar","Active","dc.component-calendar"
"Component::Collaboration Suite","English","Collaboration Suite","Collaboration Suite","Active","dc.component-collaboration_suite"
"Component::Commerce Insights","English","Commerce Insights","Commerce Insights","Active","dc.component-commerce_insights"
"Component::Configuration and Settings","English","Configuration and Settings","Configuration and Settings","Active","dc.component-configuration_and_settings"
"Component::Connectivity","English","Connectivity","Connectivity","Active","dc.component-connectivity"
"Component::Connectors","English","Connectors","Connectors","Active","dc.component-connectors"
"Component::Connector to Salesforce","English","Connector to Salesforce","Connector to Salesforce","Active","dc.component-connector_to_salesforce"
"Component::Deployment, Environments","English","Deployment, Environments","Deployment, Environments","Active","dc.component-deployment_environments"
"Component::Developer Tools","English","Developer Tools","Developer Tools","Active","dc.component-developer_tools"
"Component::Digital Merchandise Management","English","Digital Merchandise Management","Digital Merchandise Management","Active","dc.component-digital_merchandise_management"
"Component::Digital Store Management","English","Digital Store Management","Digital Store Management","Active","dc.component-digital_store_management"
"Component::Document Management","English","Document Management","Document Management","Active","dc.component-document_management"
"Component::Dynamic Data Mapping & Data Lists","English","Dynamic Data Mapping & Data Lists","Dynamic Data Mapping & Data Lists","Active","dc.component-dynamic_data_mapping_data_lists"
"Component::Elasticsearch","English","Elasticsearch","Elasticsearch","Active","dc.component-elasticsearch"
"Component::Forms","English","Forms","Forms","Active","dc.component-forms"
"Component::Liferay API","English","Liferay API","Liferay API","Active","dc.component-liferay_api"
"Component::Liferay Sync","English","Liferay Sync","Liferay Sync","Active","dc.component-liferay_sync"
"Component::Localization","English","Localization","Localization","Active","dc.component-localization"
"Component::Monitoring","English","Monitoring","Monitoring","Active","dc.component-monitoring"
"Component::Networking","English","Networking","Networking","Active","dc.component-networking"
"Component::Patch Management","English","Patch Management","Patch Management","Active","dc.component-patch_management"
"Component::Performance","English","Performance","Performance","Active","dc.component-performance"
"Component::Portal Configuration","English","Portal Configuration","Portal Configuration","Active","dc.component-portal_configuration"
"Component::Recycle Bin","English","Recycle Bin","Recycle Bin","Active","dc.component-recycle_bin"
"Component::Reporting","English","Reporting","Reporting","Active","dc.component-reporting"
"Component::Search Engine Optimization, Analytics","English","Search Engine Optimization, Analytics","Search Engine Optimization, Analytics","Active","dc.component-search_engine_optimization_analytics"
"Component::Search & Indexing","English","Search & Indexing","Search & Indexing","Active","dc.component-search_indexing"
"Component::Security","English","Security","Security","Active","dc.component-security"
"Component::Shopping Experience","English","Shopping Experience","Shopping Experience","Active","dc.component-shopping_experience"
"Component::Site Management","English","Site Management","Site Management","Active","dc.component-site_management"
"Component::Social Networking","English","Social Networking","Social Networking","Active","dc.component-social_networking"
"Component::Social Office","English","Social Office","Social Office","Active","dc.component-social_office"
"Component::Staging, Export/Import","English","Staging, Export/Import","Staging, Export/Import","Active","dc.component-staging_export_import"
"Component::System Availability","English","System Availability","System Availability","Active","dc.component-system_availability"
"Component::UI","English","UI","UI","Active","dc.component-ui"
"Component::UI Infrastructure, Accessibility","English","UI Infrastructure, Accessibility","UI Infrastructure, Accessibility","Active","dc.component-ui_infrastructure_accessibility"
"Component::Upgrade","English","Upgrade","Upgrade","Active","dc.component-upgrade"
"Component::User, Membership, Role Management","English","User, Membership, Role Management","User, Membership, Role Management","Active","dc.component-user_membership_role_management"
"Component::VPN","English","VPN","VPN","Active","dc.component-vpn"
"Component::Web Content","English","Web Content","Web Content","Active","dc.component-web_content"
"Component::Workflow, Workflow Forms","English","Workflow, Workflow Forms","Workflow, Workflow Forms","Active","dc.component-workflow_workflow_forms"
"Component::Activation Key & Project Administration","English","Activation Key & Project Administration","Activation Key & Project Administration","Active","dc.component_field-activation_key_project_administration"
"Component:UI","English","UI","UI","Active","dc.component_ui"
"Contact Us","English","Contact Us","Contact Us","Active","dc.contact_us"
"Development Guide","English","Development Guide","Development Guide","Active","dc.development_guide"
"Documentation::Liferay Analytics Cloud","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.documentation-liferay_analytics_cloud"
"Documentation::Liferay Commerce","English","Liferay Commerce","Liferay Commerce","Active","dc.documentation-liferay_commerce"
"Documentation::Liferay DXP 7.0","English","Liferay DXP 7.0","Liferay DXP 7.0","Active","dc.documentation-liferay_dxp_7_0"
"Documentation::Liferay DXP 7.1","English","Liferay DXP 7.1","Liferay DXP 7.1","Active","dc.documentation-liferay_dxp_7_1"
"Documentation::Liferay DXP Cloud","English","Liferay DXP Cloud","Liferay DXP Cloud","Active","dc.documentation-liferay_dxp_cloud"
"Documentation::Liferay DXP Components","English","Liferay DXP Components","Liferay DXP Components","Active","dc.documentation-liferay_dxp_components"
"Documentation::Liferay Portal 5.2","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.documentation-liferay_portal_5_2"
"Documentation::Liferay Portal 6.0","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.documentation-liferay_portal_6_0"
"Documentation::Liferay Portal 6.1","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.documentation-liferay_portal_6_1"
"Documentation::Liferay Portal 6.2","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.documentation-liferay_portal_6_2"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","Learn how to use all the features in Liferay DXP Cloud.","Active","dc.dxp_cloud-admin_guide_card_description"
"DXP Cloud::Announcements Card Description","English","See product updates, announcements, and releases notes from Liferay DXP Cloud.","See product updates, announcements, and releases notes from Liferay DXP Cloud.","Active","dc.dxp_cloud-announcements_card_description"
"DXP Cloud::Application Management","English","Application Management","Application Management","Active","dc.dxp_cloud-application_management"
"DXP Cloud::Collaboration","English","Collaboration","Collaboration","Active","dc.dxp_cloud-collaboration"
"DXP Cloud::Development Lifecycle","English","Development Lifecycle","Development Lifecycle","Active","dc.dxp_cloud-development_lifecycle"
"DXP Cloud::Monitoring","English","Monitoring","Monitoring","Active","dc.dxp_cloud-monitoring"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","Liferay DXP Cloud ","Active","dc.dxp_cloud-page_heading"
"DXP Cloud::Reference","English","Reference","Reference","Active","dc.dxp_cloud-reference"
"DXP Cloud::Security","English","Security","Security","Active","dc.dxp_cloud-security"
"DXP Cloud::Services","English","Services","Services","Active","dc.dxp_cloud-services"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","Learn more about support coverage for Liferay DXP Cloud.","Active","dc.dxp_cloud-support_coverage_card_description"
"DXP Cloud:: Knowledge Base Card Description","English","The most frequently asked questions and answers about Liferay DXP Cloud.","The most frequently asked questions and answers about Liferay DXP Cloud.","Active","dc.dxp_cloud-_knowledge_base_card_description"
"Environment::Non-Production","English","Non-Production","Non-Production","Active","dc.environment-non-production"
"Environment::Not Available","English","Not Available","Not Available","Active","dc.environment-not_available"
"Environment::Production","English","Production","Production","Active","dc.environment-production"
"Footer::Account Support","English","Account Support","Account Support","Active","dc.footer-account_support"
"Footer::All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.footer-all_rights_reserved"
"Footer::Contact Us","English","Contact Us","Contact Us","Active","dc.footer-contact_us"
"Footer::LESA","English","LESA","LESA","Active","dc.footer-lesa"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
"Footer::Marketplace","English","Marketplace","Marketplace","Active","dc.footer-marketplace"
"Footer::Related Sites","English","Related Sites","Related Sites","Active","dc.footer-related_sites"
"Footer::Subscription","English","Subscription","Subscription","Active","dc.footer-subscription"
"Getting Started","English","Getting Started","Getting Started","Active","dc.getting_started"
